# 1:t 2:pos.x 3:pos.y 4:pos.z 5:volume 6:rho 7:vel.x 8:vel.y 9:vel.z 10:p 11:a 12:mu 13:k 14:mu_t 15:k_t 16:S 17:tke 18:omega 19:massf[0]-H2 20:massf[1]-O2 21:massf[2]-N2 22:dt_chem 23:u 24:T 
1.251184625410210863e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243932776678086188e-03 -1.269560291122990604e-04 -2.582990604764277614e-09 0.000000000000000000e+00 3.845008378305607266e+02 3.203249761873849479e+02 1.619296398353584502e-05 2.290599935825139363e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 1.782372364791431428e-140 2.199999999999995293e-01 7.800000000000003597e-01 -1.000000000000000000e+00 -1.180055095242982497e+05 2.540009631680659936e+02
1.262418529525120361e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243932600012358135e-03 -1.272870397194773167e-04 -2.730297173552750635e-09 0.000000000000000000e+00 3.845008386055905021e+02 3.203249818930112269e+02 1.619296445062846056e-05 2.290600004817937990e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 2.098392109897146423e-140 2.199999999999995293e-01 7.800000000000004707e-01 -1.000000000000000000e+00 -1.180055029694073892e+05 2.540009722372281544e+02
1.273652433640029858e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243932424564268918e-03 -1.276144434149533704e-04 -2.854834062261195860e-09 0.000000000000000000e+00 3.845008394770339919e+02 3.203249876016022313e+02 1.619296491796378152e-05 2.290600073846586412e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 2.451152820671615896e-140 2.199999999999995570e-01 7.800000000000003597e-01 -1.000000000000000000e+00 -1.180054964111104491e+05 2.540009813111028620e+02
1.284886337754939356e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243932250384258226e-03 -1.279347764631221906e-04 -2.953045768771010024e-09 0.000000000000000000e+00 3.845008404497507399e+02 3.203249933136404479e+02 1.619296538558131354e-05 2.290600142916917811e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 2.841636407217295357e-140 2.199999999999995570e-01 7.800000000000004707e-01 -1.000000000000000000e+00 -1.180054898488532344e+05 2.540009903904570479e+02
1.290503289812394105e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243932163786007954e-03 -1.280910924965306889e-04 -2.991554597022973142e-09 0.000000000000000000e+00 3.845008409756572405e+02 3.203249961711105698e+02 1.619296561950886915e-05 2.290600177469630933e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 3.051203595637767999e-140 2.199999999999995015e-01 7.800000000000004707e-01 -1.000000000000000000e+00 -1.180054865660573996e+05 2.540009949324407330e+02
1.301737193927303603e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243931991606629560e-03 -1.283933816815020800e-04 -3.046547665723810985e-09 0.000000000000000000e+00 3.845008421098352187e+02 3.203250018892871367e+02 1.619296608762891870e-05 2.290600246614186986e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 3.499040661110070722e-140 2.199999999999995015e-01 7.800000000000003597e-01 -1.000000000000000000e+00 -1.180054799967478029e+05 2.540010040215522338e+02
1.312968297030029065e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243931820872597613e-03 -1.286779532004332183e-04 -3.071665093749234434e-09 0.000000000000000000e+00 3.845008433580637757e+02 3.203250076108192275e+02 1.619296655602366444e-05 2.290600315799318221e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 3.984650767225763374e-140 2.199999999999995293e-01 7.800000000000005818e-01 -1.000000000000000000e+00 -1.180054734235831420e+05 2.540010131159975515e+02
1.324196599120570491e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243931651641409522e-03 -1.289397944943391670e-04 -3.070555583067575676e-09 0.000000000000000000e+00 3.845008447259585864e+02 3.203250133362886345e+02 1.619296702474075703e-05 2.290600385032063452e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 4.507026566860819164e-140 2.199999999999995015e-01 7.800000000000004707e-01 -1.000000000000000000e+00 -1.180054668458948581e+05 2.540010222167016138e+02
1.335424901211111918e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243931483932030152e-03 -1.291735263315705088e-04 -3.040929881860929365e-09 0.000000000000000000e+00 3.845008462197988592e+02 3.203250190677271121e+02 1.619296749394649615e-05 2.290600454336983588e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 5.064714920771390169e-140 2.199999999999994738e-01 7.800000000000004707e-01 -1.000000000000000000e+00 -1.180054602613489842e+05 2.540010313268936102e+02
1.341039052256382631e-06 3.011666666666762762e-02 1.198627255925946607e-02 0.000000000000000000e+00 3.699890881158089586e-08 5.243931400668289632e-03 -1.292780477951828010e-04 -3.004928646445745805e-09 0.000000000000000000e+00 3.845008470158948626e+02 3.203250219358760091e+02 1.619296772874826429e-05 2.290600489018821545e-02 0.000000000000000000e+00 0.000000000000000000e+00 0 0.000000000000000000e+00 1.000000000000000000e+00 5.356158388850226953e-140 2.199999999999994738e-01 7.800000000000004707e-01 -1.000000000000000000e+00 -1.180054569662847643e+05 2.540010358858515076e+02
